[15-Oct-2025 18:39:54 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Bootstrap\HandleExceptions.php on line 257
[15-Oct-2025 18:39:54 UTC] PHP Stack trace:
[15-Oct-2025 18:39:54 UTC] PHP   1. {main}() C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\resources\server.php:0
[15-Oct-2025 18:39:54 UTC] PHP   2. require_once() C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\resources\server.php:23
[15-Oct-2025 18:39:54 UTC] PHP   3. Illuminate\Foundation\Application->handleRequest($request = class Illuminate\Http\Request { public Symfony\Component\HttpFoundation\ParameterBag $attributes = class Symfony\Component\HttpFoundation\ParameterBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $request = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $query = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\ServerBag $server = class Symfony\Component\HttpFoundation\ServerBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\FileBag $files = class Symfony\Component\HttpFoundation\FileBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $cookies = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\HeaderBag $headers = class Symfony\Component\HttpFoundation\HeaderBag { protected array $headers = [...]; protected array $cacheControl = [...] }; protected $content = NULL; protected ?array $languages = NULL; protected ?array $charsets = NULL; protected ?array $encodings = NULL; protected ?array $acceptableContentTypes = NULL; protected ?string $pathInfo = '/transacoes/4'; protected ?string $requestUri = '/transacoes/4'; protected ?string $baseUrl = ''; protected ?string $basePath = NULL; protected ?string $method = 'GET'; protected ?string $format = NULL; protected Symfony\Component\HttpFoundation\Session\SessionInterface|Closure|null $session = class Illuminate\Session\SymfonySessionDecorator { public readonly Illuminate\Contracts\Session\Session $store = class Illuminate\Session\Store { ... } }; protected ?string $locale = NULL; protected string $defaultLocale = 'en'; private ?string ${Symfony\Component\HttpFoundation\Request}preferredFormat = NULL; private bool ${Symfony\Component\HttpFoundation\Request}isHostValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isForwardedValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isSafeContentPreferred = *uninitialized*; private array ${Symfony\Component\HttpFoundation\Request}trustedValuesCache = []; private bool ${Symfony\Component\HttpFoundation\Request}isIisRewrite = FALSE; protected $json = NULL; protected $convertedFiles = NULL; protected $userResolver = class Closure { public $static = [...]; public $this = class Illuminate\Auth\AuthServiceProvider { ... }; public $parameter = [...] }; protected $routeResolver = class Closure { public $static = [...]; public $this = class Illuminate\Routing\Router { ... } } }) C:\Users\faria\projeto-final\public\index.php:17
[15-Oct-2025 18:39:54 UTC] PHP   4. Illuminate\Foundation\Http\Kernel->handle($request = class Illuminate\Http\Request { public Symfony\Component\HttpFoundation\ParameterBag $attributes = class Symfony\Component\HttpFoundation\ParameterBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $request = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $query = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\ServerBag $server = class Symfony\Component\HttpFoundation\ServerBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\FileBag $files = class Symfony\Component\HttpFoundation\FileBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $cookies = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\HeaderBag $headers = class Symfony\Component\HttpFoundation\HeaderBag { protected array $headers = [...]; protected array $cacheControl = [...] }; protected $content = NULL; protected ?array $languages = NULL; protected ?array $charsets = NULL; protected ?array $encodings = NULL; protected ?array $acceptableContentTypes = NULL; protected ?string $pathInfo = '/transacoes/4'; protected ?string $requestUri = '/transacoes/4'; protected ?string $baseUrl = ''; protected ?string $basePath = NULL; protected ?string $method = 'GET'; protected ?string $format = NULL; protected Symfony\Component\HttpFoundation\Session\SessionInterface|Closure|null $session = class Illuminate\Session\SymfonySessionDecorator { public readonly Illuminate\Contracts\Session\Session $store = class Illuminate\Session\Store { ... } }; protected ?string $locale = NULL; protected string $defaultLocale = 'en'; private ?string ${Symfony\Component\HttpFoundation\Request}preferredFormat = NULL; private bool ${Symfony\Component\HttpFoundation\Request}isHostValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isForwardedValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isSafeContentPreferred = *uninitialized*; private array ${Symfony\Component\HttpFoundation\Request}trustedValuesCache = []; private bool ${Symfony\Component\HttpFoundation\Request}isIisRewrite = FALSE; protected $json = NULL; protected $convertedFiles = NULL; protected $userResolver = class Closure { public $static = [...]; public $this = class Illuminate\Auth\AuthServiceProvider { ... }; public $parameter = [...] }; protected $routeResolver = class Closure { public $static = [...]; public $this = class Illuminate\Routing\Router { ... } } }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Application.php:1220
[15-Oct-2025 18:39:54 UTC] PHP   5. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter($request = class Illuminate\Http\Request { public Symfony\Component\HttpFoundation\ParameterBag $attributes = class Symfony\Component\HttpFoundation\ParameterBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $request = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $query = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\ServerBag $server = class Symfony\Component\HttpFoundation\ServerBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\FileBag $files = class Symfony\Component\HttpFoundation\FileBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $cookies = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\HeaderBag $headers = class Symfony\Component\HttpFoundation\HeaderBag { protected array $headers = [...]; protected array $cacheControl = [...] }; protected $content = NULL; protected ?array $languages = NULL; protected ?array $charsets = NULL; protected ?array $encodings = NULL; protected ?array $acceptableContentTypes = NULL; protected ?string $pathInfo = '/transacoes/4'; protected ?string $requestUri = '/transacoes/4'; protected ?string $baseUrl = ''; protected ?string $basePath = NULL; protected ?string $method = 'GET'; protected ?string $format = NULL; protected Symfony\Component\HttpFoundation\Session\SessionInterface|Closure|null $session = class Illuminate\Session\SymfonySessionDecorator { public readonly Illuminate\Contracts\Session\Session $store = class Illuminate\Session\Store { ... } }; protected ?string $locale = NULL; protected string $defaultLocale = 'en'; private ?string ${Symfony\Component\HttpFoundation\Request}preferredFormat = NULL; private bool ${Symfony\Component\HttpFoundation\Request}isHostValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isForwardedValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isSafeContentPreferred = *uninitialized*; private array ${Symfony\Component\HttpFoundation\Request}trustedValuesCache = []; private bool ${Symfony\Component\HttpFoundation\Request}isIisRewrite = FALSE; protected $json = NULL; protected $convertedFiles = NULL; protected $userResolver = class Closure { public $static = [...]; public $this = class Illuminate\Auth\AuthServiceProvider { ... }; public $parameter = [...] }; protected $routeResolver = class Closure { public $static = [...]; public $this = class Illuminate\Routing\Router { ... } } }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Http\Kernel.php:145
[15-Oct-2025 18:39:54 UTC] PHP   6. Illuminate\Pipeline\Pipeline->then($destination = class Closure { public $this = class Illuminate\Foundation\Http\Kernel { protected $app = class Illuminate\Foundation\Application { ... }; protected $router = class Illuminate\Routing\Router { ... }; protected $bootstrappers = [...]; protected $middleware = [...]; protected $middlewareGroups = [...]; protected $routeMiddleware = [...]; protected $middlewareAliases = [...]; protected $requestLifecycleDurationHandlers = [...]; protected $requestStartedAt = class Illuminate\Support\Carbon { ... }; protected $middlewarePriority = [...] }; public $parameter = ['$request' => '<required>'] }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Http\Kernel.php:176
[15-Oct-2025 18:39:54 UTC] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure:C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Pipeline\Pipeline.php:185-216}($passable = class Illuminate\Http\Request { public Symfony\Component\HttpFoundation\ParameterBag $attributes = class Symfony\Component\HttpFoundation\ParameterBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $request = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $query = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\ServerBag $server = class Symfony\Component\HttpFoundation\ServerBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\FileBag $files = class Symfony\Component\HttpFoundation\FileBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $cookies = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\HeaderBag $headers = class Symfony\Component\HttpFoundation\HeaderBag { protected array $headers = [...]; protected array $cacheControl = [...] }; protected $content = NULL; protected ?array $languages = NULL; protected ?array $charsets = NULL; protected ?array $encodings = NULL; protected ?array $acceptableContentTypes = NULL; protected ?string $pathInfo = '/transacoes/4'; protected ?string $requestUri = '/transacoes/4'; protected ?string $baseUrl = ''; protected ?string $basePath = NULL; protected ?string $method = 'GET'; protected ?string $format = NULL; protected Symfony\Component\HttpFoundation\Session\SessionInterface|Closure|null $session = class Illuminate\Session\SymfonySessionDecorator { public readonly Illuminate\Contracts\Session\Session $store = class Illuminate\Session\Store { ... } }; protected ?string $locale = NULL; protected string $defaultLocale = 'en'; private ?string ${Symfony\Component\HttpFoundation\Request}preferredFormat = NULL; private bool ${Symfony\Component\HttpFoundation\Request}isHostValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isForwardedValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isSafeContentPreferred = *uninitialized*; private array ${Symfony\Component\HttpFoundation\Request}trustedValuesCache = []; private bool ${Symfony\Component\HttpFoundation\Request}isIisRewrite = FALSE; protected $json = NULL; protected $convertedFiles = NULL; protected $userResolver = class Closure { public $static = [...]; public $this = class Illuminate\Auth\AuthServiceProvider { ... }; public $parameter = [...] }; protected $routeResolver = class Closure { public $static = [...]; public $this = class Illuminate\Routing\Router { ... } } }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Pipeline\Pipeline.php:127
[15-Oct-2025 18:39:54 UTC] PHP   8. Illuminate\Foundation\Http\Middleware\InvokeDeferredCallbacks->handle($request = class Illuminate\Http\Request { public Symfony\Component\HttpFoundation\ParameterBag $attributes = class Symfony\Component\HttpFoundation\ParameterBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $request = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $query = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\ServerBag $server = class Symfony\Component\HttpFoundation\ServerBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\FileBag $files = class Symfony\Component\HttpFoundation\FileBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $cookies = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\HeaderBag $headers = class Symfony\Component\HttpFoundation\HeaderBag { protected array $headers = [...]; protected array $cacheControl = [...] }; protected $content = NULL; protected ?array $languages = NULL; protected ?array $charsets = NULL; protected ?array $encodings = NULL; protected ?array $acceptableContentTypes = NULL; protected ?string $pathInfo = '/transacoes/4'; protected ?string $requestUri = '/transacoes/4'; protected ?string $baseUrl = ''; protected ?string $basePath = NULL; protected ?string $method = 'GET'; protected ?string $format = NULL; protected Symfony\Component\HttpFoundation\Session\SessionInterface|Closure|null $session = class Illuminate\Session\SymfonySessionDecorator { public readonly Illuminate\Contracts\Session\Session $store = class Illuminate\Session\Store { ... } }; protected ?string $locale = NULL; protected string $defaultLocale = 'en'; private ?string ${Symfony\Component\HttpFoundation\Request}preferredFormat = NULL; private bool ${Symfony\Component\HttpFoundation\Request}isHostValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isForwardedValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isSafeContentPreferred = *uninitialized*; private array ${Symfony\Component\HttpFoundation\Request}trustedValuesCache = []; private bool ${Symfony\Component\HttpFoundation\Request}isIisRewrite = FALSE; protected $json = NULL; protected $convertedFiles = NULL; protected $userResolver = class Closure { public $static = [...]; public $this = class Illuminate\Auth\AuthServiceProvider { ... }; public $parameter = [...] }; protected $routeResolver = class Closure { public $static = [...]; public $this = class Illuminate\Routing\Router { ... } } }, $next = class Closure { public $static = ['stack' => class Closure { ... }, 'pipe' => 'Illuminate\\Http\\Middleware\\TrustProxies']; public $this = class Illuminate\Routing\Pipeline { protected $container = class Illuminate\Foundation\Application { ... }; protected $passable = class Illuminate\Http\Request { ... }; protected $pipes = [...]; protected $method = 'handle'; protected $finally = NULL }; public $parameter = ['$passable' => '<required>'] }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Pipeline\Pipeline.php:209
[15-Oct-2025 18:39:54 UTC] PHP   9. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure:C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Pipeline\Pipeline.php:185-216}($passable = class Illuminate\Http\Request { public Symfony\Component\HttpFoundation\ParameterBag $attributes = class Symfony\Component\HttpFoundation\ParameterBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $request = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $query = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\ServerBag $server = class Symfony\Component\HttpFoundation\ServerBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\FileBag $files = class Symfony\Component\HttpFoundation\FileBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $cookies = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\HeaderBag $headers = class Symfony\Component\HttpFoundation\HeaderBag { protected array $headers = [...]; protected array $cacheControl = [...] }; protected $content = NULL; protected ?array $languages = NULL; protected ?array $charsets = NULL; protected ?array $encodings = NULL; protected ?array $acceptableContentTypes = NULL; protected ?string $pathInfo = '/transacoes/4'; protected ?string $requestUri = '/transacoes/4'; protected ?string $baseUrl = ''; protected ?string $basePath = NULL; protected ?string $method = 'GET'; protected ?string $format = NULL; protected Symfony\Component\HttpFoundation\Session\SessionInterface|Closure|null $session = class Illuminate\Session\SymfonySessionDecorator { public readonly Illuminate\Contracts\Session\Session $store = class Illuminate\Session\Store { ... } }; protected ?string $locale = NULL; protected string $defaultLocale = 'en'; private ?string ${Symfony\Component\HttpFoundation\Request}preferredFormat = NULL; private bool ${Symfony\Component\HttpFoundation\Request}isHostValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isForwardedValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isSafeContentPreferred = *uninitialized*; private array ${Symfony\Component\HttpFoundation\Request}trustedValuesCache = []; private bool ${Symfony\Component\HttpFoundation\Request}isIisRewrite = FALSE; protected $json = NULL; protected $convertedFiles = NULL; protected $userResolver = class Closure { public $static = [...]; public $this = class Illuminate\Auth\AuthServiceProvider { ... }; public $parameter = [...] }; protected $routeResolver = class Closure { public $static = [...]; public $this = class Illuminate\Routing\Router { ... } } }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Http\Middleware\InvokeDeferredCallbacks.php:22
